Student_ID,Gender,Faculty,Semester/Year,Attendance (%),Assignment Completion (%),Internal Marks (out of 50),Previous Term Marks (%),Project/Practical Score (%),Study Hours per Week,Parental Education,Parental Support,Internet Access,Extra-curricular,Engagement_Score,Improvement,Final Grade,Final_Grade_Encoded
S1,Male,Humanities,7,57,67,41,33,61,5,Medium,No,No,Medium,62.0,32.75,D,1
S2,Female,Engineering,8,51,63,41,30,30,25,Medium,Yes,No,Medium,57.0,33.5,C,2
S3,Male,Humanities,4,45,56,42,94,94,40,Low,No,No,High,50.5,18.5,B,3
S4,Male,Engineering,2,42,48,32,66,57,0,Low,No,No,Medium,45.0,15.5,C,2
S5,Male,Engineering,5,91,53,14,43,76,20,Low,Yes,No,Medium,72.0,3.25,D,1
S6,Female,Humanities,8,72,78,36,41,31,13,Medium,Yes,No,Medium,75.0,25.75,C,2
S7,Male,Management,6,61,62,13,68,61,7,High,No,No,Low,61.5,-4.0,D,1
S8,Male,Engineering,3,96,52,25,74,82,24,High,Yes,No,Medium,74.0,6.5,B,3
S9,Male,Humanities,3,86,38,7,74,28,17,Low,No,Yes,Low,62.0,-11.5,D,1
S10,Female,Science,3,94,27,48,89,41,14,Medium,No,No,Medium,60.5,25.75,A,4
S11,Male,Humanities,7,98,50,3,97,57,19,High,Yes,No,High,74.0,-21.25,C,2
S12,Male,Science,6,78,30,35,92,92,15,Medium,No,Yes,High,54.0,12.0,A,4
S13,Male,Engineering,1,62,27,17,54,76,6,Low,No,No,High,44.5,3.5,D,1
S14,Male,Humanities,6,48,44,26,63,86,28,Low,No,No,Low,46.0,10.25,D,1
S15,Female,Humanities,1,65,39,18,55,49,30,Medium,No,Yes,Low,52.0,4.249999999999998,F,0
S16,Male,Science,3,99,57,2,34,45,28,High,No,No,Medium,78.0,-6.5,F,0
S17,Female,Humanities,4,44,26,8,64,91,16,High,Yes,Yes,High,35.0,-8.0,D,1
S18,Female,Humanities,4,53,96,38,81,73,4,Low,Yes,No,Medium,74.5,17.75,B,3
S19,Female,Engineering,8,56,58,1,69,51,17,Medium,No,No,Medium,57.0,-16.25,F,0
S20,Male,Humanities,1,78,93,8,97,41,13,Low,No,No,High,85.5,-16.25,C,2
S21,Female,Management,3,52,91,5,32,27,30,High,Yes,Yes,Medium,71.5,-3.0,F,0
S22,Male,Science,6,62,39,37,50,85,17,Medium,No,Yes,Low,50.5,24.5,C,2
S23,Female,Humanities,4,70,100,27,24,33,24,Medium,Yes,No,Low,85.0,21.0,D,1
S24,Female,Science,1,85,30,47,27,24,10,Low,No,Yes,High,57.5,40.25,C,2
S25,Female,Science,8,58,35,33,32,32,25,Medium,No,No,High,46.5,25.0,D,1
S26,Female,Science,6,60,61,28,60,96,4,Medium,Yes,Yes,High,60.5,13.0,C,2
S27,Female,Humanities,3,94,71,47,36,43,15,Medium,No,No,High,82.5,38.0,B,3
S28,Female,Humanities,2,47,56,2,51,54,7,Medium,No,Yes,Medium,51.5,-10.75,F,0
S29,Female,Science,3,35,71,15,24,97,12,Low,No,Yes,Medium,53.0,9.0,F,0
S30,Female,Management,7,81,28,43,28,87,31,Medium,Yes,Yes,High,54.5,36.0,B,3
S31,Male,Science,3,69,54,34,53,45,26,High,No,No,High,61.5,20.75,C,2
S32,Male,Management,8,94,86,10,20,93,25,Low,Yes,Yes,Medium,90.0,5.0,D,1
S33,Female,Science,6,71,26,42,59,57,8,Medium,Yes,No,Medium,48.5,27.25,B,3
S34,Female,Engineering,8,97,21,22,98,53,6,Low,No,No,Low,59.0,-2.5,B,3
S35,Female,Science,6,61,44,29,73,53,7,High,No,No,Medium,52.5,10.75,C,2
S36,Male,Science,5,39,95,47,51,38,1,Medium,Yes,No,High,67.0,34.25,C,2
S37,Female,Humanities,5,98,60,4,69,22,17,Medium,No,Yes,High,79.0,-13.25,F,0
S38,Male,Management,6,38,94,7,78,55,35,Low,No,No,Low,66.0,-12.5,F,0
S39,Male,Engineering,6,98,71,42,100,23,23,Low,No,Yes,Low,84.5,17.0,A,4
S40,Male,Management,2,90,100,42,81,45,33,Low,Yes,No,Low,95.0,21.75,A,4
S41,Male,Engineering,2,40,96,49,30,94,37,Low,No,No,Medium,68.0,41.5,C,2
S42,Male,Science,3,97,84,50,42,22,10,Low,Yes,Yes,Medium,90.5,39.5,A,4
S43,Female,Humanities,8,37,96,9,45,68,9,Medium,Yes,Yes,High,66.5,-2.25,F,0
S44,Female,Humanities,7,78,57,27,82,28,28,Low,Yes,Yes,High,67.5,6.5,C,2
S45,Female,Management,8,53,86,35,65,65,39,Low,Yes,No,Low,69.5,18.75,C,2
S46,Female,Humanities,4,62,99,9,88,85,5,Low,No,Yes,Low,80.5,-13.0,D,1
S47,Female,Management,8,48,61,13,25,33,9,High,Yes,No,Medium,54.5,6.75,F,0
S48,Male,Management,7,31,90,37,70,22,29,Medium,No,Yes,High,60.5,19.5,C,2
S49,Female,Engineering,2,84,73,36,62,21,27,Low,Yes,No,High,78.5,20.5,C,2
S50,Female,Management,3,40,86,46,61,52,28,Medium,Yes,Yes,Low,63.0,30.75,B,3
S51,Male,Engineering,7,46,97,4,32,29,24,Medium,Yes,Yes,Medium,71.5,-4.0,F,0
S52,Female,Humanities,8,71,83,5,44,72,35,Low,No,No,High,77.0,-6.0,F,0
S53,Male,Management,1,90,99,29,21,63,26,High,No,No,High,94.5,23.75,D,1
S54,Female,Management,5,32,23,18,33,57,33,High,Yes,Yes,Medium,27.5,9.75,D,1
S55,Male,Science,7,64,50,48,36,40,33,Medium,Yes,No,Low,57.0,39.0,C,2
S56,Female,Management,4,95,32,13,59,54,31,Low,Yes,No,Low,63.5,-1.75,D,1
S57,Female,Management,3,30,46,10,58,86,3,Medium,Yes,Yes,Medium,38.0,-4.499999999999998,D,1
S58,Male,Science,7,36,78,45,44,41,33,Medium,Yes,Yes,Medium,57.0,34.0,C,2
S59,Male,Science,6,49,84,4,67,39,15,Low,No,Yes,Medium,66.5,-12.75,F,0
S60,Male,Humanities,8,72,83,44,68,87,10,High,No,Yes,High,77.5,27.0,B,3
S61,Male,Management,1,35,44,30,52,27,14,Medium,Yes,No,Medium,39.5,17.0,D,1
S62,Male,Humanities,5,84,56,43,46,70,37,Medium,No,Yes,Low,70.0,31.5,C,2
S63,Male,Humanities,1,50,94,31,64,45,29,Medium,No,Yes,High,72.0,15.0,D,1
S64,Male,Science,3,80,92,23,50,70,26,Medium,Yes,No,Medium,86.0,10.5,C,2
S65,Male,Engineering,8,75,90,50,82,84,15,Medium,No,Yes,Medium,82.5,29.5,A,4
S66,Female,Humanities,2,64,33,9,57,45,0,Low,No,No,Medium,48.5,-5.249999999999998,D,1
S67,Female,Engineering,5,37,43,12,98,66,24,High,No,No,Low,40.0,-12.5,D,1
S68,Male,Management,8,97,86,46,59,62,27,Low,No,Yes,Low,91.5,31.25,B,3
S69,Female,Science,1,45,67,12,77,28,13,Low,Yes,No,Low,56.0,-7.25,D,1
S70,Female,Management,2,96,84,35,84,54,33,Low,Yes,Yes,High,90.0,14.0,A,4
S71,Female,Management,4,100,57,21,30,38,3,High,No,Yes,Low,78.5,13.5,C,2
S72,Female,Science,3,93,89,8,34,67,13,Low,No,Yes,Medium,91.0,-0.5,D,1
S73,Male,Management,3,31,78,18,76,99,15,High,Yes,No,Low,54.5,-1.0,C,2
S74,Female,Science,5,30,31,6,44,47,14,Medium,Yes,No,High,30.5,-5.0,F,0
S75,Male,Engineering,1,87,73,14,58,22,33,Medium,No,No,Low,80.0,-0.4999999999999982,D,1
S76,Female,Management,4,30,70,16,52,37,12,Low,No,Yes,High,50.0,3.0,F,0
S77,Female,Science,6,36,57,45,48,32,16,Medium,Yes,Yes,Medium,46.5,33.0,C,2
S78,Female,Humanities,5,98,65,13,77,46,27,Medium,Yes,Yes,High,81.5,-6.25,C,2
S79,Male,Management,8,47,29,40,91,59,9,Medium,Yes,Yes,Low,38.0,17.25,B,3
S80,Female,Engineering,6,61,28,47,30,58,16,Low,No,No,Medium,44.5,39.5,D,1
S81,Male,Science,5,74,71,1,32,77,7,Low,Yes,No,Low,72.5,-7.0,F,0
S82,Female,Management,1,62,70,13,88,76,1,High,Yes,No,Low,66.0,-9.0,C,2
S83,Male,Management,4,78,41,3,40,43,0,Medium,No,No,Medium,59.5,-7.0,F,0
S84,Female,Management,1,62,92,2,22,41,4,Low,Yes,Yes,Medium,77.0,-3.5,F,0
S85,Male,Engineering,3,100,91,2,45,70,34,Medium,No,No,Low,95.5,-9.25,F,0
S86,Male,Science,6,97,87,10,52,95,21,Low,No,Yes,Medium,92.0,-3.0,D,1
S87,Female,Humanities,2,57,24,4,41,95,15,High,Yes,No,Low,40.5,-6.25,F,0
S88,Male,Humanities,7,82,48,47,81,57,8,High,Yes,Yes,High,65.0,26.75,A,4
S89,Female,Humanities,8,73,25,28,24,80,35,Low,No,No,High,49.0,22.0,D,1
S90,Female,Science,3,84,88,27,38,68,8,Medium,Yes,No,Low,86.0,17.5,D,1
S91,Female,Humanities,3,39,77,22,28,42,13,High,No,Yes,High,58.0,15.0,D,1
S92,Female,Engineering,6,43,62,29,77,23,9,Low,No,No,Low,52.5,9.75,C,2
S93,Female,Science,8,65,88,22,43,95,21,High,Yes,No,Medium,76.5,11.25,D,1
S94,Female,Management,5,63,91,50,58,100,15,Low,Yes,No,High,77.0,35.5,A,4
S95,Female,Engineering,3,47,56,40,95,56,40,High,No,Yes,Medium,51.5,16.25,B,3
S96,Female,Management,7,45,77,21,80,25,2,Low,No,No,Low,61.0,1.0,D,1
S97,Female,Humanities,4,66,56,42,67,47,27,High,No,Yes,Low,61.0,25.25,C,2
S98,Female,Engineering,3,70,45,11,69,27,29,High,Yes,Yes,High,57.5,-6.25,D,1
S99,Female,Science,4,54,61,26,81,39,28,Low,No,No,Medium,57.5,5.75,C,2
S100,Male,Engineering,1,37,35,39,72,35,0,High,Yes,Yes,Low,36.0,21.0,C,2
S101,Male,Management,8,47,41,45,40,32,27,Low,Yes,No,Low,44.0,35.0,D,1
S102,Female,Science,5,97,42,48,57,98,21,High,No,No,Medium,69.5,33.75,A,4
S103,Female,Engineering,4,77,66,14,78,81,31,High,Yes,Yes,Medium,71.5,-5.5,C,2
S104,Female,Engineering,3,99,86,46,62,96,10,Low,Yes,No,Low,92.5,30.5,A,4
S105,Female,Engineering,5,96,22,22,36,85,25,High,Yes,Yes,Medium,59.0,13.0,C,2
S106,Female,Engineering,7,47,31,43,88,72,30,High,No,Yes,High,39.0,21.0,A,4
S107,Female,Science,5,47,42,40,63,47,19,Low,Yes,No,Medium,44.5,24.25,C,2
S108,Female,Management,4,85,30,43,82,37,19,Medium,Yes,Yes,High,57.5,22.5,A,4
S109,Female,Engineering,8,52,71,18,42,26,32,Low,Yes,No,Medium,61.5,7.5,D,1
S110,Male,Science,4,64,69,43,87,40,4,Medium,Yes,Yes,Low,66.5,21.25,B,3
S111,Female,Management,2,35,76,10,45,60,40,High,No,Yes,Low,55.5,-1.25,F,0
S112,Male,Engineering,2,55,83,37,67,58,2,Medium,Yes,No,Medium,69.0,20.25,C,2
